#Org.,Pro.,Eco.,Descripció,Crèdits inicials,f,Crèdits inicials_2
01,336,22606,PATRIMONI,8000,,8000
01,912,10000,RETRIBUCIONS BÀSIQUES I ALTRES RENDIMENTS,165859,,165859
01,912,16000,SEGURETAT SOCIAL ÒRGANS DE GOVERN,49758,,49758
01,912,21400,MANTENIMENT VEHICLE PRESIDÈNCIA,0,,0
01,912,22103,COMBUSTIBLE VEHICLE PRESIDÈNCIA,1000,,1000
01,912,22199,ALTRES SUBMINISTRAMENTS PRESIDÈNCIA,0,,0
01,912,22601,DESPESES DIVERSES,6000,,6000
01,912,23000,DIETES MEMBRES ORGANS DE GOVERN,300,,300
01,912,23100,LOCOMOCIÓ MENBRES ÒRGANS DE GOVERN,500,,500
01,912,23300,ALTRES INDEMNITZACIONS,23400,,23400
01,912,48301,APORTACIO AL GRUP POLÍTIC PSC-CP,9960,,9960
01,912,48302,APORTACIÓ AL GRUP POLÍTIC JUNTS-CM,5280,,5280
01,912,48303,APORTACIÓ AL GRUP POLÍTIC VOX,4500,,4500
01,912,48306,APORTACIÓ AL GRUP POLÌTIC ESQUERRA REPUBLICANA-AM,4500,,4500
01,912,48308,APORTACIÓ AL GRUP POLÍTIC EN COMÚ PODEM,4500,,4500
01,920,12000,RETRIBUCIONS BASIQUES FUNCIONARIS SOUS GRUP A1,17647,,17647
01,920,12001,RETRIBUCIONS BASIQUES FUNCIONARIS SOUS GRUP A2,15517,,15517
01,920,12003,RETRIBUCIONS BÀSIQUES FUNCIONARIS SOUS GRUP C1,11885,,11885
01,920,12004,RETRIBUCIONS BÀSIQUES FUNCIONARIS SOUS GRUP C2,20147,,20147
01,920,12006,TRIENNIS,14239,,14239
01,920,12100,COMPLEMENT DE DESTINACIÓ,37722,,37722
01,920,12101,COMPLEMENT ESPECÍFIC,136585,,136585
01,920,13000,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX,18897,,18897
01,920,13002,ALTRES REMUNERACIONS PERSONAL LABORAL FIX,25800,,25800
01,920,13100,RETRIBUCIONS PERSONAL LABORAL TEMPORAL,84198,,84198
01,920,15000,PRODUCTIVITAT,4800,,4800
01,920,15100,GRATIFICACIONS,2000,,2000
01,920,16000,SEGURETAT SOCIAL PERSONAL PRESIDENCIA,116231,,116231
01,3322,22699,CONSERVACIÓ ARTIU,0,,0
02,011,31000,INTERESSOS PRÉSTEC DEL SECTOR PRIVAT I OP. TRESORERIA,137000,,137000
02,011,91100,AMORTITZ. PRESTECS A MIG I LLARG DEL S.PUB.,106535.07,,106535.07
02,011,91300,AMORTITZACIO PRÈSTECS A MIG I LLARG FORA DEL S.PÚBLIC,561158.45,,561158.45
02,221,16106,INDEMNITZACIONS,0,,0
02,221,16200,FORMACIO I PERFECCIONAMENT PERSONAL,10000,,10000
02,221,16204,ACCIÓ SOCIAL PERSONAL,39940,,39940
02,920,12000,RETRIBUCIONS BASIQUES FUNCIONARIS SOUS GRUP A1,19117,,19117
02,920,12001,RETRIBUCIONS BASIQUES FUNCIONARIS SOUS GRUP A2,62070,,62070
02,920,12003,RETRIBUCIONS BASIQUES FUNCIONARIS SOUS GRUP C1,85174,,85174
02,920,12004,RETRIBUCIONS BASIQUES FUNCIONARIS SOUS GRUP C2,50369,,50369
02,920,12006,TRIENNIS,36795,,36795
02,920,12100,COMPLEMENT DE DESTINACIÓ,123580,,123580
02,920,12101,COMPLEMENT ESPECÍFIC,341038,,341038
02,920,13000,Retribucions bàsiques.,27566,,27566
02,920,13002,Altres remuneracions.,44666,,44666
02,920,13100,RETRIBUCIONS PERSONAL LABORAL TEMPORAL,0,,0
02,920,14300,ALTRE PERSONAL ATIPIC,0,,0
02,920,15000,PRODUCTIVITAT,11550,,11550
02,920,15100,GRATIFICACIONS,2000,,2000
02,920,16000,SEGURETAT SOCIAL PERSONAL SERVEIS GENERALS,240577,,240577
02,920,16105,PENSIONS A CÀRREC DE L'ENTITAT-FUNCIONARIS INTEGRATS-,0,,0
02,920,20200,LLOGUER LOCAL JUTJAT,6200,,6200
02,920,21500,MANTENIMENT MOBILIARI I ESTRIS,6700,,6700
02,920,21600,MANTENIMENT EQUIPS INFORMÀTICS,14157,,14157
02,920,21900,MANTENIMENT PROGRAMES INFORMÀTICS,143740,,143740
02,920,22000,MATERIAL D'OFICINA,9000,,9000
02,920,22001,"PREMSA, REVISTES, LLIBRES I ALTRES PUBLICACIONS",24870,,24870
02,920,22002,MATERIAL INFORMÀTIC NO INVENTARIABLE,7260,,7260
02,920,22105,PRODUCTES ALIMENTARIS,2500,,2500
02,920,22106,PRODUCTES FARMACEUTICS I MATERIAL SANITARI,500,,500
02,920,22199,ALTRES SUBMINISTRAMENTS,500,,500
02,920,22200,SERVEIS DE TELECOMUNICACIONS,9000,,9000
02,920,22201,COMUNICACIONS POSTALS,8000,,8000
02,920,22203,COMUNICACIONS INFORMÀTIQUES,14000,,14000
02,920,22299,ALTRES DESPESES EN COMUNICACIONS,1000,,1000
02,920,22400,PRIMES ASSEGURANCES,56000,,56000
02,920,22602,PUBLICITAT I PROPAGANDA,1000,,1000
02,920,22603,PUBLICACIÓ DIARIS OFICIALS,5000,,5000
02,920,22604,DESPESES JURÌDIQUES,5000,,5000
02,920,22699,DESPESES DIVERSES,10000,,10000
02,920,22706,TREBALLS TECNICS REALITZATS ALTRES EMPRESES,16470,,16470
02,920,23020,DIETES PERSONAL NO DIRECTIU,1000,,1000
02,920,23120,LOCOMOCIÓ PERSONAL NO DIRECTIU,1000,,1000
02,920,23300,ALTRES INDEMNITZACIONS,1000,,1000
02,920,35800,INTERESSOS ARRENDAMENTS FINANCERS,1200,,1200
02,920,62501,MOBILIARI I ESTRIS SERVEIS INTERNS,0,,0
02,920,62601,EQUIPS PER A PROCESSOS D'INFORMACIO,0,,0
02,920,64800,QUOTES ARRENDAMENTS FINANCERS,12000,,12000
02,932,22708,SERVEIS DE RECAPTACIÓ A FAVOR DE L'ENTITAT,140000,,140000
02,934,31100,DESP. FORMALITZACIO MODIFICACIÓ I CANCEL.PRESTECS INTERIOR,1000,,1000
