#Org.,Pro.,Eco.,Descripció,Crèdits inicials,Modificacions de crèdit,Crèdits totals consignats,Obligacions reconegudes,Disponible de Remanentes por aplicación
1,912,48300,APORTACIO A GRUPS POLITICS,30.8,0.0,30.8,30769.2,0.0
1,912,23000,DIETES MEMBRES ORGANS DE GOVERN,300.0,0.0,300.0,0.0,0.0
1,912,48306,APORTACIÓ AL GRUP POLÌTIC ESQUERRA REPUBLICANA DE CATALUNYA,4288.2,0.0,4288.2,0.0,0.0
1,912,10000,RETRIBUCIONS BÀSIQUES I ALTRES RENDIMENTS,118468.0,0.0,118468.0,118378.68,0.0
1,912,22601,DESPESES DIVERSES,4000.0,0.0,4000.0,4286.83,0.0
1,912,48304,APORTACIO AL GP ASOC.GUANYEM/GANEMOS POLINYÀ SI SE PUEDE,5008.2,0.0,5008.2,0.0,0.0
1,912,48302,APORTACIÓ AL GRUP POLÍTIC  CONVERGÈNCIA I UNIÓ,6448.2,0.0,6448.2,0.0,0.0
1,912,48305,APORTACIÓ AL GRUP POLÍTIC PARTIT POPULAR,4288.2,0.0,4288.2,0.0,0.0
1,912,23100,LOCOMOCIÓ MEMBRES ÒRGANS DE GOVERN,500.0,0.0,500.0,0.0,0.0
1,912,48301,APORTACIO AL GRUP POLÍTIC CANDIDATURA DE PROGRÉS,6448.2,0.0,6448.2,0.0,0.0
1,912,23300,ALTRES INDEMNITZACIONS,18000.0,0.0,18000.0,13187.0,0.0
1,912,48303,APORTACIÓ AL GP.. I P CATALUNYA PELS  VERDS ESQUERRA ALT.ENT,4288.2,0.0,4288.2,0.0,0.0
1,912,16000,SEGURETAT SOCIAL ÒRGANS DE GOVERN,38000.0,0.0,38000.0,37396.69,0.0
1,920,12101,COMPLEMENT ESPECÍFIC,27686.0,0.0,27686.0,27829.78,0.0
1,920,12003,RETRIBUCIONS BÀSIQUES FUNCIONARIS SOUS GRUP C1,10508.0,0.0,10508.0,10294.97,0.0
1,920,13002,ALTRES REMUNERACIONS PERSONAL LABORAL FIX,22270.0,0.0,22270.0,762.96,0.0
1,920,13000,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX,16533.0,0.0,16533.0,400.39,0.0
1,920,14300,ALTRE PERSONAL ATÍPIC,0.0,0.0,0.0,34131.67,0.0
1,920,15000,PRODUCTIVITAT,1800.0,0.0,1800.0,1591.67,0.0
1,920,16000,SEGURETAT SOCIAL PERSONAL PRESIDENCIA,26500.0,0.0,26500.0,26231.21,0.0
1,920,12006,TRIENNIS,2197.0,0.0,2197.0,2145.85,0.0
1,920,12100,COMPLEMENT DE DESTINACIÓ,10213.0,0.0,10213.0,10192.15,0.0
1,920,12004,RETRIBUCIONS BÀSIQUES FUNCIONARIS SOUS GRUP C2,8746.0,0.0,8746.0,8810.14,0.0
2,11,91300,AMORTITZACIO PRÈSTECS A MIG I LLARG FORA DEL S.PÚBLIC,795100.0,4740.0,799840.0,795102.46,0.0
