#Org.,Pro.,Eco.,Descripció,Crèdits inicials,Modificacions de crèdit,Crèdits totals consignats,Obligacions reconegudes
01,336,22606,PATRIMONI,8000.0,0.0,8000.0,3000.0
01,336,68900,ALTRES DESPESES EN INVERSIONS DE BÉNS PATRIMONIALS,0.0,23000.0,23000.0,20000.0
01,912,22601,DESPESES DIVERSES,7000.0,7600.0,14600.0,13406.88
01,912,48307,APORTACIÓ AL GRUP POLÍTIC PARTIT DEMÒCRATA EUPEU CATALÀ,0.0,0.0,0.0,4320.0
01,912,48302,APORTACIÓ AL GRUP POLÍTIC PDeCAT,4320.0,0.0,4320.0,0.0
01,912,48300,APORTACIO A GRUPS POLITICS,0.0,0.0,0.0,0.0
01,912,23100,LOCOMOCIÓ MENBRES ÒRGANS DE GOVERN,500.0,0.0,500.0,0.0
01,912,10000,RETRIBUCIONS BÀSIQUES I ALTRES RENDIMENTS,152953.0,-32675.96,120277.04,108928.4
01,912,16000,SEGURETAT SOCIAL ÒRGANS DE GOVERN,53691.0,0.0,53691.0,33968.34
01,912,23000,DIETES MEMBRES ORGANS DE GOVERN,300.0,0.0,300.0,0.0
01,912,22103,COMBUSTIBLE VEHICLE PRESIDÈNCIA,1000.0,0.0,1000.0,0.0
01,912,48308,APORTACIÓ AL GRUP POLINYÀ EN COMÚ PODEM,0.0,0.0,0.0,4320.0
01,912,48303,APORTACIÓ AL GP.. I P CATALUNYA PELS  VERDS ESQUERRA ALT.ENT,0.0,0.0,0.0,0.0
01,912,48304,APORTACIÓ AL GRUP POLÍTIC POLINYÀ EN COMÚ PODEM,4320.0,0.0,4320.0,0.0
01,912,23300,ALTRES INDEMNITZACIONS,20000.0,0.0,20000.0,15100.0
01,912,22199,ALTRES SUBMINISTRAMENTS,0.0,0.0,0.0,1007.84
01,912,48301,APORTACIO AL GRUP POLÍTIC PSC-CP,10080.0,0.0,10080.0,10080.0
01,912,48305,APORTACIÓ AL GRUP POLÍTIC PARTIT POPULAR,0.0,0.0,0.0,0.0
01,912,48306,APORTACIÓ AL GRUP POLÌTIC ESQUERRA REPUBLICANA-AM,5040.0,0.0,5040.0,5040.0
01,912,22200,SERVEIS DE TELECOMUNICACIONS,0.0,0.0,0.0,0.0
01,912,21400,REPARACIO I MANTENIMENT MATERIAL TRANSPORT PRESIDENCIA,0.0,0.0,0.0,2695.87
01,920,13002,ALTRES REMUNERACIONS PERSONAL LABORAL FIX,42316.0,0.0,42316.0,37119.9
01,920,12100,COMPLEMENT DE DESTINACIÓ,45364.0,0.0,45364.0,42064.01
01,920,15000,PRODUCTIVITAT,6000.0,0.0,6000.0,4000.0
01,920,12101,COMPLEMENT ESPECÍFIC,148847.0,0.0,148847.0,138881.54
01,920,16000,SEGURETAT SOCIAL PERSONAL PRESIDENCIA,98442.0,0.0,98442.0,87655.32
01,920,12003,RETRIBUCIONS BÀSIQUES FUNCIONARIS SOUS GRUP C1,21455.0,0.0,21455.0,21647.8
01,920,14300,ALTRE PERSONAL ATIPIC,0.0,0.0,0.0,0.0
01,920,13000,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX,28362.0,0.0,28362.0,25215.08
01,920,13100,REMUNERACIONS PERSONAL LABORAL TEMPORAL,38000.0,0.0,38000.0,38341.66
01,920,12004,RETRIBUCIONS BÀSIQUES FUNCIONARIS SOUS GRUP C2,27278.0,0.0,27278.0,19677.23
01,920,15100,GRATIFICACIONS,2000.0,186.16,2186.16,2795.22
01,920,12006,TRIENNIS,17108.0,0.0,17108.0,14749.44
01,920,12001,RETRIBUCIONS BASIQUES FUNCIONARIS SOUS GRUP A2,14006.0,0.0,14006.0,14132.38
01,920,12000,RETRIBUCIONS BASIQUES FUNCIONARIS SOUS GRUP A1,15928.0,0.0,15928.0,16071.44
02,011,91100,AMORTITZ. PRESTECS A MIG I LLARG DEL S.PUB.,108000.0,0.0,108000.0,107957.74
02,011,91300,AMORTITZACIO PRÈSTECS A MIG I LLARG FORA DEL S.PÚBLIC,570000.0,0.0,570000.0,568491.94
02,011,91302,AMORTITZACIÓ PRÈSTECS A MIG I LLARG FORA DEL S.PÚBLIC,0.0,0.0,0.0,0.0
02,011,31000,INTERESSOS PRÉSTEC DEL SECTOR PRIVAT I OP. TRESORERIA,25000.0,0.0,25000.0,20421.49
02,221,16000,SEGURETAT SOCIAL FORMACIÓ I ACCIÓ SOCIAL,0.0,0.0,0.0,0.0
02,221,16106,INDEMNITZACIONS,0.0,0.0,0.0,1852.17
02,221,16204,ACCIÓ SOCIAL PERSONAL,39940.0,-1000.0,38940.0,33707.37
02,221,16200,FORMACIO I PERFECCIONAMENT PERSONAL,10000.0,0.0,10000.0,3106.0
02,491,62900,INSTAL.LACIÓ INFRAESTRUCTURA WI-FI,0.0,14983.97,14983.97,14983.97
02,912,22200,SERVEIS DE TELECOMUNICACIONS,0.0,0.0,0.0,0.0
02,920,22200,SERVEIS DE TELECOMUNICACIONS,8000.0,705.53,8705.53,13029.54
02,920,46600,A ALTRES AGRUPACIONS DE MUNICIPIS,0.0,0.0,0.0,0.0
02,920,13002,ALTRES REMUNERACIONS PERSONAL LABORAL FIX,16445.0,0.0,16445.0,15403.43
02,920,62601,EQUIPS PER A PROCESSOS D'INFORMACIO,18000.0,27923.04,45923.04,31050.2
02,920,21900,MANTENIMENT PROGRAMES INFORMÀTICS,61650.0,558.57,62208.57,48294.06
02,920,22299,ALTRES DESPESES EN COMUNICACIONS,2000.0,0.0,2000.0,0.0
02,920,22603,PUBLICACIÓ DIARIS OFICIALS,5000.0,0.0,5000.0,4153.29
02,920,12004,RETRIBUCIONS BASIQUES FUNCIONARIS SOUS GRUP C2,27929.0,0.0,27929.0,27911.03
02,920,21600,MANTENIMENT EQUIPS INFORMÀTICS,5500.0,0.0,5500.0,1135.32
02,920,35800,INTERESSOS ARRENDAMENTS FINANCERS,500.0,1752.24,2252.24,2067.83
02,920,23300,ALTRES INDEMNITZACIONS,1500.0,0.0,1500.0,1215.84
02,920,22699,DESPESES DIVERSES,3000.0,95.11,3095.11,4452.99
02,920,22602,PUBLICITAT I PROPAGANDA,5000.0,0.0,5000.0,437.68
02,920,64800,QUOTES ARRENDAMENTS FINANCERS,26000.0,5214.7,31214.7,28212.29
02,920,22400,PRIMES ASSEGURANCES,48000.0,1384.81,49384.81,48302.08
02,920,23020,DIETES PERSONAL NO DIRECTIU,2000.0,0.0,2000.0,2816.16
02,920,22000,MATERIAL D'OFICINA,5000.0,744.15,5744.15,8535.62
02,920,20200,LLOGUER LOCAL JUTJAT,4200.0,0.0,4200.0,5527.28
02,920,12003,RETRIBUCIONS BASIQUES FUNCIONARIS SOUS GRUP C1,74310.0,0.0,74310.0,73003.76
02,920,13100,REMUNERACIONS PERSONAL LABORAL TEMPORAL,39525.0,0.0,39525.0,39880.72
02,920,62501,MOBILIARI I ESTRIS,5000.0,186.72,5186.72,4809.13
02,920,20600,ARRENDAMENTS D'EQUIPS PER PROCESSOS INFORMACIO,0.0,0.0,0.0,0.0
02,920,22501,TRIBUTS DE LES COMUNITATS AUTÒNOMES,0.0,0.0,0.0,32.8
02,920,23120,LOCOMOCIÓ PERSONAL NO DIRECTIU,1500.0,0.0,1500.0,231.65
02,920,21300,"REPARAC. MANTENIM. I CONSERV. MAQUINÀRIA, INSTAL·LAC. I UTIL",0.0,0.0,0.0,0.0
02,920,22001,"PREMSA, REVISTES, LLIBRES I ALTRES PUBLICACIONS",9418.0,0.0,9418.0,8619.14
02,920,14300,ALTRE PERSONAL ATIPIC,0.0,0.0,0.0,17697.63
02,920,22203,COMUNICACIONS INFORMÀTIQUES,16200.0,2494.12,18694.12,8587.1
02,920,13000,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX,11813.0,0.0,11813.0,11072.38
02,920,63300,"MAQUINARIA, INSTAL.LACIONS I ESTRIS - EDIFICI AJUNTAMENT-",0.0,25278.04,25278.04,0.0
02,920,22105,PRODUCTES ALIMENTARIS,4500.0,211.41,4711.41,1730.57
02,920,63200,EDIFICIS I ALTRES CONSTRUCCIONS -EDIFICI AJUNTAMENT-,0.0,60000.0,60000.0,24602.08
02,920,16000,SEGURETAT SOCIAL PERSONAL SERVEIS GENERALS,160531.0,0.0,160531.0,139260.3
02,920,12006,TRIENNIS,26324.0,0.0,26324.0,25917.51
02,920,12001,RETRIBUCIONS BASIQUES FUNCIONARIS SOUS GRUP A2,46941.0,0.0,46941.0,41602.14
02,920,22199,ALTRES SUBMINISTRAMENTS,500.0,0.0,500.0,480.02
02,920,12100,COMPLEMENT DE DESTINACIÓ,93143.0,0.0,93143.0,82338.1
02,920,15100,GRATIFICACIONS,2000.0,162.76,2162.76,2649.9
02,920,12101,COMPLEMENT ESPECÍFIC,251312.0,-21000.0,230312.0,220593.65
02,920,22106,PRODUCTES FARMACEUTICS I MATERIAL SANITARI,0.0,630.93,630.93,1266.79
