#Eco.,Descripció,Previsions inicials,Total Modificacions,Previsions totals,Drets reconeguts nets
11200,IMPOST SOBRE BENS DE NATURALESA RÚSTEGA,3468,,3468.0,3468.31
11301,IMPOST SOBRE BENS DE NATURALESA URBANA,3850000,,3850000.0,3830963.46
11500,IMPOST SOBRE VEHICLES DE TRACCIÓ MECÀNICA,640000,,640000.0,609122.02
11600,IMPOST SOBRE INCREMENT DE VALORS TERRENYS NATURALESA URBANA,470000,,470000.0,591232.59
13000,IMPOST SOBRE ACTIVITATS EMPRESARIALS,1590000,,1590000.0,1562715.91
29000,"IMPOST SOBRE CONSTRUCCIONS, INSTAL·LACIONS I OBRES",150000,,150000.0,244934.7
30000,ABASTAMENT D'AIGUA,0,,,-111.63
30100,SERVEIS DE CLAVEGUERAM,50500,,50500.0,40717.01
30200,RECOLLIDA ESCOMBRARIES,383000,,383000.0,381325.0
30500,CEMENTIRI MUNICIPAL,15000,,15000.0,12567.76
31100,ACTIVITATS SERVEIS SOCIALS,3000,,3000.0,1843.0
31200,ACTIVITATS ENSENYAMENT,6500,,6500.0,6281.78
31201,PLA DE FORMACIÓ,3000,,3000.0,838.0
31301,ACTIVITATS ESPORTIVES,1000,,1000.0,1878.0
31306,INSTAL·LACIONS ESPORTIVES,1000,,1000.0,
31400,ACTIVITATS CULTURALS,2000,,2000.0,2581.0
31500,ACTIVITATS JUVENILS,22100,,22100.0,28079.61
31600,ACTIVITATS PROMOCIÓ ECONÒMICA,0,,,1137.19
31903,RECOLLIDA ANIMALS DOMÈSTICS,2000,,2000.0,845.2
32100,LLICÈNCIES URBANÍSTIQUES,100000,,100000.0,92490.76
32500,SERVEIS ADMINISTRATIUS,7200,,7200.0,3910.15
32600,TAXA PER RETIRADA DE VEHICLES,12000,,12000.0,10977.0
32700,LLICÈNCIES AUTOTAXIS,1000,,1000.0,
32800,LLICÈNCIES OBERTURA ESTABLIMENTS,150000,,150000.0,119396.04
33100,DISTINTIUS I PLAQUES I ENTRADA VEHICLES,78000,,78000.0,84259.76
33200,APROFITAMENT ESPECIAL EMP. EXPLOTADORES SUBMINISTRAMENTS,310000,,310000.0,294634.51
33300,APROFITAMENT ESPECIAL EMP. EXPLOTADORES S.TELECOMUNICACIONS,31500,,31500.0,5035.1
33500,TAXA UTILITZACIÓ DOMINI PÚBLIC,43000,,43000.0,62489.96
33800,"APROFITAMENT VOL, SOL I SUBSÒL, CONVENI TELEFÒNICA",62000,,62000.0,38737.9
33900,QUIOSCOS,1425,,1425.0,
33901,TAXA UTILITZACIÓ LOCALS I INSTAL.LACIONS MUNICIPALS,1400,,1400.0,2520.55
34201,ESCOLA BRESSOL,240000,,240000.0,231743.14
34900,PREU PÚBLIC PER INSERCIÓ PUBLICITAT,0,,,79.4
35000,CONTRIBUCIONS ESPECIALS QUOTES URBANISTIQUES,0,,,
39100,MULTES PER INFRANCCIONS URBANÍSTIQUES,60000,,60000.0,29112.0
39120,MULTES TRANSIT,40000,,40000.0,42511.28
39200,RECÀRREC D'EXTEMPORANEÏTAT,6000,,6000.0,7275.24
39300,INTERESSOS DEUTES TRIBUTÀRIES I ALTRES,10000,,10000.0,20426.55
39710,Altres ingressos per aprofitaments urbanístics.,0,,,
39901,ALTRES INGRESSOS DIVERSOS,10000,,10000.0,25633.25
39903,COMPENSACIÓ CÀNON DE DEPOSICIÓ RESIDUS,65000,,65000.0,53450.62
39904,GESTIÓ RECOLLIDA RESIDUS DEIXALLERIA,15000,,15000.0,15925.36
39906,RECLAMACIÓ DANYS,0,695.79,695.79,11126.38
39907,INGRESSOS PER EXECUCIONS SUBSIDIÀRIES,0,1909666.71,1909666.71,1909666.71
42000,PARTICIPACIONS EN ELS TRIBUTS DE L'ESTAT,1430000,,1430000.0,1415607.2
45000,FONS DE COOPERACIÓ,115000,,115000.0,232696.79
45002,CONVENIS DE MANTENIMENT DE SERVEIS SOCIALS,25600,,25600.0,
45030,CONVENIS DE MANTENIMENT DE SERVEIS EDUCACIÓ,132000,,132000.0,
45080,DE L'ADMINISTRACIÓ GENERAL DE LA COMUNITAT AUTÒNOMA,65000,123611.66,188611.66,80237.08
45100,TRANSFERÈNCIES D'ORGANISMES AUTÒNOMS DE LA COM.AUTÒNOMA,20000,165898.76,185898.76,63574.8
46100,ALTRES TRANSFERÈNCIES,150000,92272.49,242272.49,269599.48
46500,ALTRES TRANSFERÈNCIES,123400,,123400.0,135905.25
46700,DE CONSORCIS,2000,,2000.0,
47000,TRANSFERÈNCIES CORRENTS D'EMPRESES,1000,600.0,1600.0,15797.31
52000,INTERESSOS DE CAIXES I BANCS,100,,100.0,225.44
55000,CONCESSIONS ADMINISTRATIVES,22900,,22900.0,62846.18
76100,DE DIPUTACIONS,543124,232002.48,775126.48,597217.88
87000,Per a despeses generals.,0,259569.48,259569.48,
87010,PER A DESPESES AMB FINANÇAMENT AFECTAT,0,525347.68,525347.68,
91100,PRÉSTECS A LL/T D'ENS DEL SECTOR PÚBLIC,0,,,
91301,PRÉSTEC REBUTS DE FORA DEL SECTOR PÚBLIC,241000,,241000.0,
#,,11307217,3309665.05,14616882.05,13255527.98
