#Org.,Pro.,Eco.,Descripció,Crèdits inicials,f,Crèdits inicials_2
01,336,22606,PATRIMONI,7000.0,,7000.0
01,912,10000,RETRIBUCIONS BÀSIQUES I ALTRES RENDIMENTS,163725.0,,163725.0
01,912,16000,SEGURETAT SOCIAL ÒRGANS DE GOVERN,53293.0,,53293.0
01,912,22103,COMBUSTIBLE VEHICLE PRESIDÈNCIA,1000.0,,1000.0
01,912,22199,ALTRES SUBMINISTRAMENTS,0.0,,0.0
01,912,22601,DESPESES DIVERSES,6000.0,,6000.0
01,912,23000,DIETES MEMBRES ORGANS DE GOVERN,300.0,,300.0
01,912,23100,LOCOMOCIÓ MENBRES ÒRGANS DE GOVERN,500.0,,500.0
01,912,23300,ALTRES INDEMNITZACIONS,15300.0,,15300.0
01,912,48301,APORTACIO AL GRUP POLÍTIC PSC-CP,10282.0,,10282.0
01,912,48306,APORTACIÓ AL GRUP POLÌTIC ESQUERRA REPUBLICANA-AM,5141.0,,5141.0
01,912,48307,PORTACIÓ AL GRUP POLÍTIC PDeCAT,4407.0,,4407.0
01,912,48308,APORTACIÓ AL G. POLÍTIC GUANYEM/GANEMOS POLINYÀ SI SE PUEDE,4407.0,,4407.0
01,920,12000,RETRIBUCIONS BASIQUES FUNCIONARIS SOUS GRUP A1,17050.0,,17050.0
01,920,12001,RETRIBUCIONS BASIQUES FUNCIONARIS SOUS GRUP A2,14993.0,,14993.0
01,920,12003,RETRIBUCIONS BÀSIQUES FUNCIONARIS SOUS GRUP C1,17224.0,,17224.0
01,920,12004,RETRIBUCIONS BÀSIQUES FUNCIONARIS SOUS GRUP C2,19466.0,,19466.0
01,920,12006,TRIENNIS,15326.0,,15326.0
01,920,12100,COMPLEMENT DE DESTINACIÓ,40753.0,,40753.0
01,920,12101,COMPLEMENT ESPECÍFIC,139516.0,,139516.0
01,920,13000,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX,17714.0,,17714.0
01,920,13002,ALTRES REMUNERACIONS PERSONAL LABORAL FIX,24926.0,,24926.0
01,920,13100,RETRIBUCIONS PERSONAL LABORAL TEMPORAL,65443.0,,65443.0
01,920,15000,PRODUCTIVITAT,5100.0,,5100.0
01,920,15100,GRATIFICACIONS,2000.0,,2000.0
01,920,16000,SEGURETAT SOCIAL PERSONAL PRESIDENCIA,93828.0,,93828.0
