#Org.,Fun.,Eco.,Descripció,Crèdits inicials,Modificacions de crèdit,Crèdits totals consignats,Obligacions reconegudes
01,336,22606,PATRIMONI,7000.0,0.0,7000.0,3732.64
01,912,22199,ALTRES SUBMINISTRAMENTS,0.0,0.0,0.0,182.75
01,912,23100,LOCOMOCIÓ MENBRES ÒRGANS DE GOVERN,500.0,0.0,500.0,0.0
01,912,48303,APORTACIÓ AL G. POLÍTIC VOX,0.0,0.0,0.0,1300.0
01,912,48302,APORTACIÓ AL G. POLÍTIC JUNTS-CM,0.0,0.0,0.0,1525.33
01,912,23000,DIETES MEMBRES ORGANS DE GOVERN,300.0,0.0,300.0,0.0
01,912,22601,DESPESES DIVERSES,6000.0,6000.0,12000.0,9741.59
01,912,10000,RETRIBUCIONS BÀSIQUES I ALTRES RENDIMENTS,163725.0,-25800.0,137925.0,77358.53
01,912,23300,ALTRES INDEMNITZACIONS,15300.0,9000.0,24300.0,17643.6
01,912,48308,APORTACIÓ AL G. POLÍTIC EN COMÚ PODEM,4407.0,0.0,4407.0,3331.84
01,912,48307,PORTACIÓ AL GRUP POLÍTIC PDeCAT,4407.0,0.0,4407.0,2031.84
01,912,48306,APORTACIÓ AL GRUP POLÌTIC ESQUERRA REPUBLICANA-AM,5141.0,0.0,5141.0,3670.48
01,912,48301,APORTACIO AL GRUP POLÍTIC PSC-CP,10282.0,0.0,10282.0,5128.29
01,912,16000,SEGURETAT SOCIAL ÒRGANS DE GOVERN,53293.0,0.0,53293.0,21499.16
01,912,22103,COMBUSTIBLE VEHICLE PRESIDÈNCIA,1000.0,0.0,1000.0,58.47
01,912,21400,REPARACIÓ I MANTENIMENT VEHICLE ALCALDIA,0.0,0.0,0.0,166.25
01,920,12003,RETRIBUCIONS BÀSIQUES FUNCIONARIS SOUS GRUP C1,17224.0,0.0,17224.0,10174.34
01,920,16000,SEGURETAT SOCIAL PERSONAL PRESIDENCIA,93828.0,0.0,93828.0,60116.39
