#Org.,Fun.,Eco.,Descripció,Crèdits inicials,Modificacions de crèdit,Crèdits totals consignats,Obligacions reconegudes
010,912,10000,RETRIBUCIONS BÀSIQUES I ALTRES RENDIMENTS,134500,0,134500,123992.97
010,912,16000,SEGURETAT SOCIAL ÒRGANS DE GOVERN,40908,0,40908,38816.3
010,912,22601,DESPESES DIVERSES,2000,0,2000,4633.97
010,912,23000,DIETES MEMBRES ORGANS DE GOVERN,300,0,300,0
010,912,23100,LOCOMOCIÓ MEMBRES ÒRGANS DE GOVERN,1000,0,1000,469.5
010,912,23300,ALTRES INDEMNITZACIONS,10000,8100,18100,15936
010,912,48300,APORTACIO A GRUPS POLITICS,30769,0.2,30769.2,30769.2
010,920,12003,RETRIBUCIONS BÀSIQUES FUNCIONARIS SOUS GRUP C1,10080,0,10080,10043.94
010,920,12004,RETRIBUCIONS BÀSIQUES FUNCIONARIS SOUS GRUP C2,8390,0,8390,8530.4
010,920,12006,TRIENNIS,2107,0,2107,2109.81
010,920,12100,COMPLEMENT DE DESTINACIÓ,9797,0,9797,9976.13
010,920,12101,COMPLEMENT ESPECÍFIC,26558,0,26558,27630.49
010,920,13000,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX,15860,-300,15560,15551.51
010,920,13002,ALTRES REMUNERACIONS PERSONAL LABORAL FIX,21363,0,21363,21955.99
010,920,15000,PRODUCTIVITAT,1800,300,2100,1800
010,920,15100,Gratificacions,0,0,0,300
010,920,16000,SEGURETAT SOCIAL PERSONAL PRESIDENCIA,26546,2140.33,28686.33,26743.06
020,011,31000,INTERESSOS PRESTECS DE L'INTERIOR,100000,-45000,55000,51963.55
020,011,31100,DESP.FORMALIT. MODIF. I CANCECL.ALCIO,0,0,0,0
020,011,91100,AMORTITZ. PRESTECS A MIG I LLARG DEL S.PUB.,58006,673579.77,731585.77,731585.49
020,011,91300,AMORTITZACIO PRÈSTECS A MIG I LLARG FORA DEL S.PÚBLIC,924000,-48000,876000,875600.43
