#Data,Import,Orgànica,Area,Funcional,Econòmica,Nom terc.,Text lliure,Document
2015-02-13,1192.58,18,Serveis de manteniment d'edificis i inversions,3232,21500,"GIBAREÑA PROMOCIONES, S.L.",NETEJA CORTINES ESCOLA PERE CALDERS,48/014
2015-02-13,1610.44,18,Serveis de manteniment d'edificis i inversions,9292,20200,"JOMAG, SL",LLOGUER NAU BRIGADA FEBRER 2015,52
2015-02-26,535.43,17,Ocupació,241,22606,"ABACUS, S.COOP.C.L.",14/FOAP/248/0113108/004  ALB. 82380487,9030128404
2015-02-26,780.87,08,Cultura,3321,22001,"ABACUS, S.COOP.C.L.",Biblioteca Polinyà (Àlex Arroyo) alb.82317988,9030125652
2015-02-26,1754.5,08,Cultura,338,22610,"ACTIVA LA CULTURA, S.C.P.",ACTUACIÓ TEATRE 20/01/15,15/06
2015-02-26,1500.28,02,Serveis generals,920,22400,AFIS - Corredoria d'assegurances,ASSEGURANÇA ACCID. ESCOLES BRESSOLS 2015-2016,201410102491
2015-02-26,1350.0,08,Cultura,338,22610,AGRUPACIÓ MUSICAL DEL VALLES,ACTUACIÓ MUSICAL FESTA MAJOR HIVERN,15007
2015-02-26,209.7,16,Serveis socials,231,48003,"ARES ESPAI DE CUINA I MENJADOR, S.L.",AJUTS MENJADOR ANY 2014 ESCOLA PERE CALDERS,MJ140C000028
2015-02-26,100.0,08,Cultura,338,22610,ASOCIACION CULTURAL MUSICAL POLINYA LA FACTORIA,CONCERT ACÚSTIC FESTA MAJOR HIVERN,0006
2015-02-26,1000.0,08,Cultura,338,22610,ASSOCIACIO MUSICAL CREU ALTA,ACTUACIÓ COR VAKOMBA 16/01/2015,20150116
2015-02-26,363.0,15,Salut i consum ,311,22709,ASSOCIACIO OLESCAN,RECOLLIDA I ESTADA GOS BOXER ASTOR OCTUBRE 2014,274
2015-02-26,432.1,13,Esports,341,22609,BONASTRE I THIO FRANCESC XAVIER,SPEAKER CURSA POPULAR 17/01/2015,20151
2015-02-26,157.3,03,Seguretat ciutadana,130,22699,"CAMACHO JIMÉNEZ, ANTONIO","CANVI BOMBI C/.MARGARIDA XIRGU, 12",1508
2015-02-26,363.0,09,"Comunicació, participació ciutadana i qualitat democràtica",9232,22602,"CANO DE ARRIBAS, JOSEP",FOTOS INFORMATIU POLINYA GENER 15,03/15
2015-02-26,302.5,09,"Comunicació, participació ciutadana i qualitat democràtica",9232,22602,"CANO DE ARRIBAS, JOSEP",FOTOS 26/1/15 SESSIO INFORMATIVA DELS HORTS,02/15
2015-02-26,822.09,13,Esports,341,22609,"CARNICAS HERMANOS MOTOS, S.L.",CAMINADA PER POLINYA,A1500016
2015-02-26,100.0,08,Cultura,3321,22609,"CARRILLO TORRAS, MERCÈ",CLUB LECTURA 13/01/2015,3/15
2015-02-26,1161.6,02,Serveis generals,920,21900,"CASTILLA SOFTWARE, SL",RENOVACIÓ CONTRACTE EPSILON,B000196
2015-02-26,2634.0,02,Serveis generals,920,21900,"CASTILLA SOFTWARE, SL",MANTENIMENT PROGRAMA EPSILON RRHH ANY 2015,B000154
2015-02-26,4391.58,06,Serveis municipals i via pública,1621,22700,"CESPA GESTIÓN DE RESIDUOS, S.A.",UTILITZACIÓ PLANTA CAN BARBA DESEMBRE 2014,15J9PZ000008
2015-02-26,130.0,08,Cultura,3321,22609,Cia. de JOCS L'ANÒNIMA Associació Cultural,L'HORA DEL CONTE BIBLIOTECA 29/1/15,01-2015
2015-02-26,72.6,09,"Comunicació, participació ciutadana i qualitat democràtica",9232,22602,"CLOS MOLINA, FRANCESC   (DEDEDE COMUNICACIÓ GRÀFICA I VISUAL)",DISSENY ANUNCI PROGRAMA FESTA MAJOR PEL DIARI DE SABADELL,38
2015-02-26,525.14,18,Serveis de manteniment d'edificis i inversions,342,20500,"COBREZINC ARQUITECTURA, S.L.",LLOGUER XARXES PISCINES NOVEMBRE 2014,201501
2015-02-26,26.92,18,Serveis de manteniment d'edificis i inversions,9292,22199,"COMERCIAL LIDER, S.A.",MATERIAL ELECTRIC EBM BADABADOC,504000004
2015-02-26,75.59,18,Serveis de manteniment d'edificis i inversions,9292,22199,"COMERCIAL LIDER, S.A.",MATERIAL MANTENIMENT AJUNTAMENT,504500004
2015-02-26,3.62,18,Serveis de manteniment d'edificis i inversions,9292,22199,"COMERCIAL LIDER, S.A.",MATERIAL ELECTRIC CONSERGE ESCOLA ROSER CAPDEVILA,504500002
2015-02-26,66.91,18,Serveis de manteniment d'edificis i inversions,9292,22199,"COMERCIAL LIDER, S.A.",MATERIAL ELECTRIC AJUNTAMENT,50400005
2015-02-26,304.75,18,Serveis de manteniment d'edificis i inversions,9292,22199,"COMERCIAL LIDER, S.A.",MATERIAL ELECTRIC CONSERGE ESCOLA PERE CALDERS,504500003
2015-02-26,1007.93,13,Esports,341,22609,"DIGICOMFORT, S.L.  -LD. COMFORT, SS",PARELLS MANGUITOS,7
2015-02-26,264.25,02,Serveis generals,920,22603,DIPUTACIO DE BARCELONA,PUBLICACIÓ ANUNCI LICITACIÓ PARCEL.LES,201402006660L
2015-02-26,60.0,02,Serveis generals,920,22603,DIPUTACIO DE BARCELONA,PUBLICACIÓ MODIFICACIÓ PGO,201502000763L
2015-02-26,1542.75,08,Cultura,338,22611,DISFRESSES BARQUET SCP,"LLOGUER DISFRESSES REIS, PATGES I CAVALLISTES",2015106
2015-02-26,1394.25,08,Cultura,338,22611,"DISGOL CANDY COMPANY, SL",CARAMELS CAVALCADA REIS,D4439
2015-02-26,1051.49,11,Educació,3231,62501,DOUBLET,CADIRES + CARRO TRANSP. CADIRES ESCOLA BRESSOL BADABADOC,70927/84898
2015-02-26,1051.49,11,Educació,3231,62501,DOUBLET,CADIRES + CARRO TRANSPORT CADIRES ESCOLA BRESSOL GINESTA,70923/84897
2015-02-26,4260.41,08,Cultura,330,62501,DOUBLET,"CADIRES, TAULES I PODIO ACTES CULTURALS",70684/84480
2015-02-26,211.75,03,Seguretat ciutadana,130,21900,"DRAGCLIC, S.L.",Programa informàtic de gestió policial DRAG Quota mensual. Febrer 2015,00074
2015-02-26,211.75,03,Seguretat ciutadana,130,21900,"DRAGCLIC, S.L.",PROGRAMA INFORMÀTIC GESTIÓ POLICIA QUOTA GENER'15,15-2015
2015-02-26,359.98,18,Serveis de manteniment d'edificis i inversions,430,21200,"ECOCLIMA VALLÈS, SL",Manteniment mensual GENER,MT-20
2015-02-26,279.81,18,Serveis de manteniment d'edificis i inversions,3230,21200,"ECOCLIMA VALLÈS, SL",CORRECTIU CALEFACCIÓ ESCOLA PERE CALDERS,EC-05
2015-02-26,279.91,18,Serveis de manteniment d'edificis i inversions,430,21200,"ECOCLIMA VALLÈS, SL",dia 11-12 (6hores - 3 hores abonades segons contracte) / dia 02-01 (6hores - 6 hores abonades segons contracte) / Gas R4,EC-03
2015-02-26,84.7,18,Serveis de manteniment d'edificis i inversions,3230,21200,"ECOCLIMA VALLÈS, SL",CORRECTIU CALEFACCIÓ EBM GINESTA,EC-04
2015-02-26,339.0,01,Presidència-Òrgans de govern,912,22601,"EDICIONES SANTALLA,S.L.",ENCICLOPÈDIA EDICIONS DEL ROMANIC,1/925
2015-02-26,599.0,08,Cultura,330,62501,EL CORTE INGLES,"TV LED 50"""" LG BIBLIOTECA",95371559
2015-02-26,128.9,17,Ocupació,241,62501,EL CORTE INGLES,CÀMARA FOTOS DIGITAL I TARGETA DE MEMÒRIA,95371558
2015-02-26,3989.8,16,Serveis socials,231,22709,EL GRUP DE POLINYA,DINAMITZ. AULA TARDA GENER 2015,01/15
2015-02-26,48.8,16,Serveis socials,231,48003,"ENDERMAR COLECTIVIDADES, SL",MENUS F.Y. DE L'ESCOLA R.CADPEVILA DESEMBRE 14,15016
2015-02-26,19.89,16,Serveis socials,231,48003,"ENDERMAR COLECTIVIDADES, SL",MENUS I.B. DE L'ESCOLA ROSER CAPDEVILA DESEMBRE,15014
2015-02-26,5443.51,18,Serveis de manteniment d'edificis i inversions,165,22100,"ENDESA ENERGIA,S.A.",CONSUM ELÈCTRIC ENLLUMENAT PÚBLIC ANY 2014,AGRUP. 1710914
2015-02-26,200.0,02,Serveis generals,920,22603,ENTITAT AUTONOMA DEL DIARI OFICIAL I PUBL. DE LA GENERALITAT,ANUNCI ARRANJAMENT COL.LECTOR,AB/1500562
2015-02-26,200.0,02,Serveis generals,920,22603,ENTITAT AUTONOMA DEL DIARI OFICIAL I PUBL. DE LA GENERALITAT,EDICTE ALIENACIÓ PARCEL.LES,AB/1413536
2015-02-26,4271.14,03,Seguretat ciutadana,130,63300,ESPAIS CARDIOPROTEGITS CATALUNYA,2 DESFIBRIL·LADORS POLICIA (INCLOU FORMACIÓ),141391
2015-02-26,174.24,08,Cultura,338,22611,"FERNANDEZ LOPEZ, MANUELA  ( IMAFER )",FOTOS SEGUIMENT CAVALCADA REIS,47
2015-02-26,93.17,20,Promoció econòmica,430,22606,"FERNANDEZ LOPEZ, MANUELA  ( IMAFER )",FOTOS CONCURS APARADORS NADAL 2014,46
2015-02-26,8.16,06,Serveis municipals i via pública,1621,22700,"FOMENT DEL RECICLATGE, S.A.",LLOGUER CÀRREGA FORNTAL CEMENTIRI,FR/14-411197
2015-02-26,1274.44,18,Serveis de manteniment d'edificis i inversions,3232,22102,"GAS NATURAL SERVICIOS SDG, S.A.",CONSUM GAS ESCOLA PERE CALDERS DEL 08/11/2014 AL 04/12/2014,FE14321162091961
2015-02-26,828.77,18,Serveis de manteniment d'edificis i inversions,3232,22102,"GAS NATURAL SERVICIOS SDG, S.A.",CONSUM GAS EBM GINESTA DEL 08/11/2014 AL 04/12/2014,FE14321162071844
2015-02-26,711.14,18,Serveis de manteniment d'edificis i inversions,342,22102,"GAS NATURAL SERVICIOS SDG, S.A.",CONSUM GAS CAMP DE FUTBOL DEL 08/11/2014 AL 04/12/2014,FE14321162091955
2015-02-26,2053.73,18,Serveis de manteniment d'edificis i inversions,3232,22102,"GAS NATURAL SERVICIOS SDG, S.A.",CONSUM GAS ESCOLA ROSER CAPDEVILA DEL 08/11/2014 AL 04/12/2014,FE14321162071843
2015-02-26,183.92,13,Esports,341,22609,"FRUITÓS PIQUÉ, GEMMA - GIM GEMMA",ACONDICIONAMENT FISIC GENT GRAN GENER 2015,01
2015-02-26,37.75,08,Cultura,338,22610,"GIRABAL TRESSERRAS, PERE  ( METALLS SIMBOLICS I ESPORTIUS )",TROFEUS BAIXADA DE TRASTOS FESTA MAJOR HIVERN,15001
2015-02-26,253.5,13,Esports,341,22609,"GIRABAL TRESSERRAS, PERE  ( METALLS SIMBOLICS I ESPORTIUS )",TROFEUS CURSA POPULAR,15002
2015-02-26,124.8,08,Cultura,334,22609,"GIRAVENT PALLEROLA, SONIA",CURS PINTURA GENER 2015,1/2015
2015-02-26,1391.5,16,Serveis socials,337,22706,"GONZALEZ BODEGUERO, CARMEN",DINAMITZ. CASAL GENT GRAN GENER 2015,01/15
2015-02-26,2216.72,13,Esports,341,22609,"GUANTES BASPIN, S.L.",ROBA CURSA,00022/15
2015-02-26,35.0,15,Salut i consum ,311,22709,"HERNANDEZ LOPEZ, AROA",PINSO GOS,0021/14
2015-02-26,92.0,15,Salut i consum ,311,22709,"HERNANDEZ LOPEZ, AROA",PINSO GATS,0022/14
2015-02-26,400.0,08,Cultura,338,22611,"HIDALGO RODRIGUEZ, M. DOLORES",APERITIU CAVALCADA DE REIS,2015/01
2015-02-26,350.0,08,Cultura,338,22610,"HIDALGO RODRIGUEZ, M. DOLORES",APERITIU FESTA MAJOR D'HIVERN,2015/02
2015-02-26,115.28,13,Esports,341,22609,"ILBA,S.L.",CATERING CORREDORS POLINYA,0400000819
2015-02-26,271.52,13,Esports,341,22609,"ILBA,S.L.",CATERING FESTA MAJOR HIVERN CURSA,040000818
2015-02-26,93.04,17,Ocupació,241,22605,"ILBA,S.L.",CATERING OCUPACIÓ,0400000820
2015-02-26,887.16,16,Serveis socials,231,48000,"ILBA,S.L.",AJUTS SOCIALS,0400000821
2015-02-26,462.4,18,Serveis de manteniment d'edificis i inversions,920,21200,"INDUSTRIAL DE ELEVACION,S.A. -INELSA-",MANTENIMENT ASCENSOR AJUNTAMENT 1ER. TRIMESTRE 2015,21100007/2015
2015-02-26,269.0,18,Serveis de manteniment d'edificis i inversions,3232,21200,"INDUSTRIAL DE ELEVACION,S.A. -INELSA-",MANTENIMENT ASCENSOR ESCOLA BRESSOL BADABADOC 1ER. TRIMESTRE 2015,21100029/2015
2015-02-26,2297.68,06,Serveis municipals i via pública,171,22716,"JORDI L'ESPIGOL JARDINER, S.L.",MANTENIMENT JARDINERIA CAN ROVIRA GENER 2015,8981
