#Org.,Fun.,Eco.,Descripció,Crèdits inicials,Modificacions de crèdit,Crèdits totals consignats,Obligacions reconegudes
01,912,10000,RETRIBUCIONS BÀSIQUES I ALTRES RENDIMENTS,134500,,134500.0,123992.97
01,912,16000,SEGURETAT SOCIAL ÒRGANS DE GOVERN,40908,,40908.0,38816.3
01,912,22601,DESPESES DIVERSES,2000,,2000.0,4633.97
01,912,23000,DIETES MEMBRES ORGANS DE GOVERN,300,,300.0,
01,912,23100,LOCOMOCIÓ MEMBRES ÒRGANS DE GOVERN,1000,,1000.0,469.5
01,912,23300,ALTRES INDEMNITZACIONS,10000,8100.0,18100.0,15936.0
01,912,48300,APORTACIO A GRUPS POLITICS,30769,0.2,30769.2,30769.2
01,920,12003,RETRIBUCIONS BÀSIQUES FUNCIONARIS SOUS GRUP C1,10080,,10080.0,10043.94
01,920,12004,RETRIBUCIONS BÀSIQUES FUNCIONARIS SOUS GRUP C2,8390,,8390.0,8530.4
01,920,12006,TRIENNIS,2107,,2107.0,2109.81
01,920,12100,COMPLEMENT DE DESTINACIÓ,9797,,9797.0,9976.13
01,920,12101,COMPLEMENT ESPECÍFIC,26558,,26558.0,27630.49
01,920,13000,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX,15860,-300.0,15560.0,15551.51
01,920,13002,ALTRES REMUNERACIONS PERSONAL LABORAL FIX,21363,,21363.0,21955.99
01,920,15000,PRODUCTIVITAT,1800,300.0,2100.0,1800.0
01,920,15100,Gratificacions,0,,,300.0
01,920,16000,SEGURETAT SOCIAL PERSONAL PRESIDENCIA,26546,2140.33,28686.33,26743.06
02,011,31000,INTERESSOS PRESTECS DE L'INTERIOR,100000,-45000.0,55000.0,51963.55
02,011,31100,DESP.FORMALIT. MODIF. I CANCECL.ALCIO,0,,,
02,011,91100,AMORTITZ. PRESTECS A MIG I LLARG DEL S.PUB.,58006,673579.77,731585.77,731585.49
02,011,91300,AMORTITZACIO PRÈSTECS A MIG I LLARG FORA DEL S.PÚBLIC,924000,-48000.0,876000.0,875600.43
02,011,91302,AMORTITZACIÓ PRÈSTECS A MIG I LLARG FORA DEL S.PÚBLIC,30147,,30147.0,30146.56
02,221,16000,SEGURETAT SOCIAL FORMACIÓ I ACCIÓ SOCIAL,10240,,10240.0,
02,221,16106,INDEMNITZACIONS,0,,,6236.29
02,221,16200,FORMACIO I PERFECCIONAMENT PERSONAL,9000,,9000.0,6053.9
02,221,16204,ACCIÓ SOCIAL PERSONAL,23000,,23000.0,26927.28
02,920,12000,RETRIBUCIONS BASIQUES FUNCIONARIS SOUS GRUP A1,15527,,15527.0,15010.93
02,920,12001,RETRIBUCIONS BASIQUES FUNCIONARIS SOUS GRUP A2,40277,,40277.0,39989.27
02,920,12003,RETRIBUCIONS BASIQUES FUNCIONARIS SOUS GRUP C1,41041,,41041.0,40312.23
02,920,12004,RETRIBUCIONS BASIQUES FUNCIONARIS SOUS GRUP C2,41948,,41948.0,42660.34
02,920,12006,TRIENNIS,31056,,31056.0,29255.05
02,920,12100,COMPLEMENT DE DESTINACIÓ,77473,,77473.0,76649.79
02,920,12101,COMPLEMENT ESPECÍFIC,238509,,238509.0,243355.61
02,920,13000,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX,50929,,50929.0,50286.2
02,920,13002,ALTRES REMUNERACIONS PERSONAL LABORAL FIX,73144,,73144.0,74323.49
02,920,15000,PRODUCTIVITAT,9000,,9000.0,7200.0
02,920,15100,GRATIFICACIONS PERSONAL FUNCIONARI,5600,,5600.0,3800.0
02,920,16000,SEGURETAT SOCIAL PERSONAL SERVEIS GENERALS,161104,,161104.0,154492.36
02,920,21300,"REPARAC. MANTENIM. I CONSERV. MAQUINÀRIA, INSTAL·LAC. I UTIL",0,,,794.46
02,920,21500,MANTENIMENT MOBILIARI I ESTRIS,5000,,5000.0,3867.33
02,920,21600,MANTENIMENT EQUIPS INFORMÀTICS,3000,,3000.0,2311.83
02,920,21900,MANTENIMENT PROGRAMES INFORMÀTICS,9000,,9000.0,5634.8
02,920,22000,MATERIAL D'OFICINA,8000,1178.41,9178.41,6930.37
02,920,22001,"PREMSA, REVISTES, LLIBRES I ALTRES PUBLICACIONS",7500,-578.98,6921.02,5947.6
02,920,22002,MATERIAL INFORMÀTIC NO INVENTARIABLE,23620,18203.5,41823.5,24756.35
02,920,22199,ALTRES SUBMINISTRAMENTS,0,,,
