#Org.,Fun.,Eco.,Descripció,Crèdits inicials,Modificacions de crèdit,Crèdits totals consignats,Obligacions reconegudes
01,912,10000,RETRIBUCIONS BÀSIQUES I ALTRES RENDIMENTS,118468.0,,118468.0,25386.0
01,912,16000,SEGURETAT SOCIAL ÒRGANS DE GOVERN,38000.0,,38000.0,9523.47
01,912,22601,DESPESES DIVERSES,4000.0,,4000.0,1441.52
01,912,23000,DIETES MEMBRES ORGANS DE GOVERN,300.0,,300.0,
01,912,23100,LOCOMOCIÓ MEMBRES ÒRGANS DE GOVERN,500.0,,500.0,
01,912,23300,ALTRES INDEMNITZACIONS,18000.0,,18000.0,3187.0
01,912,48300,APORTACIO A GRUPS POLITICS,30.8,,30.8,7692.3
01,912,48301,APORTACIO AL GRUP POLÍTIC CANDIDATURA DE PROGRÉS,6448.2,,6448.2,
01,912,48302,APORTACIÓ AL GRUP POLÍTIC  CONVERGÈNCIA I UNIÓ,6448.2,,6448.2,
01,912,48303,APORTACIÓ AL GP.. I P CATALUNYA PELS  VERDS ESQUERRA ALT.ENT,4288.2,,4288.2,
01,912,48304,APORTACIO AL GP ASOC.GUANYEM/GANEMOS POLINYÀ SI SE PUEDE,5008.2,,5008.2,
01,912,48305,APORTACIÓ AL GRUP POLÍTIC PARTIT POPULAR,4288.2,,4288.2,
01,912,48306,APORTACIÓ AL GRUP POLÌTIC ESQUERRA REPUBLICANA DE CATALUNYA,4288.2,,4288.2,
01,920,12003,RETRIBUCIONS BÀSIQUES FUNCIONARIS SOUS GRUP C1,10508.0,,10508.0,2492.84
01,920,12004,RETRIBUCIONS BÀSIQUES FUNCIONARIS SOUS GRUP C2,8746.0,,8746.0,2109.28
01,920,12006,TRIENNIS,2197.0,,2197.0,505.3
01,920,12100,COMPLEMENT DE DESTINACIÓ,10213.0,,10213.0,2468.59
01,920,12101,COMPLEMENT ESPECÍFIC,27686.0,,27686.0,6690.16
01,920,13000,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX,16533.0,,16533.0,400.39
01,920,13002,ALTRES REMUNERACIONS PERSONAL LABORAL FIX,22270.0,,22270.0,762.96
01,920,14300,ALTRE PERSONAL ATÍPIC,,,,7111.02
01,920,15000,PRODUCTIVITAT,1800.0,,1800.0,
01,920,16000,SEGURETAT SOCIAL PERSONAL PRESIDENCIA,26500.0,,26500.0,6769.88
02,011,31000,INTERESSOS PRESTECS DEL SECTOR PRIVAT I OP.TRESORERIA,60000.0,,60000.0,10436.65
02,011,91100,AMORTITZ. PRESTECS A MIG I LLARG DEL S.PUB.,58360.0,,58360.0,
02,011,91300,AMORTITZACIO PRÈSTECS A MIG I LLARG FORA DEL S.PÚBLIC,795100.0,,795100.0,200663.31
02,011,91302,AMORTITZACIÓ PRÈSTECS A MIG I LLARG FORA DEL S.PÚBLIC,30147.0,,30147.0,
