#Eco.,Descripció,Previsions inicials,Total Modificacions,Previsions totals,Drets reconeguts totals
11200,IMPOST SOBRE BENS DE NATURALESA RÚSTEGA,13200.0,0.0,13200.0,13195.34
11301,IMPOST SOBRE BENS DE NATURALESA URBANA,4680000.0,0.0,4680000.0,4552423.58
11500,IMPOST SOBRE VEHICLES DE TRACCIÓ MECÀNICA,600000.0,0.0,600000.0,607220.95
11600,IMPOST SOBRE INCREMENT DE VALORS TERRENYS NATURALESA URBANA,400000.0,0.0,400000.0,834418.99
13000,IMPOST SOBRE ACTIVITATS EMPRESARIALS,2200000.0,0.0,2200000.0,151547.99
29000,"IMPOST SOBRE CONSTRUCCIONS, INSTAL·LACIONS I OBRES",650000.0,0.0,650000.0,173750.99
30000,ABASTAMENT D'AIGUA,0.0,0.0,0.0,105402.3
30200,RECOLLIDA ESCOMBRARIES,264000.0,0.0,264000.0,245745.45
30201,SERVEI RECOLLIDA ESCOMBRARIES INDUSTRIALS,45500.0,0.0,45500.0,29894.0
30500,CEMENTIRI MUNICIPAL,11000.0,0.0,11000.0,3100.04
31500,ACTIVITATS JUVENILS,0.0,0.0,0.0,0.0
31903,RECOLLIDA ANIMALS DOMÈSTICS,1000.0,0.0,1000.0,205.8
32100,LLICÈNCIES URBANÍSTIQUES,250000.0,0.0,250000.0,58673.97
32200,LLICÈNCIES DE PRIMERA OCUPACIÓ,30000.0,0.0,30000.0,3819.85
32500,SERVEIS ADMINISTRATIUS,14000.0,0.0,14000.0,8341.8
32600,TAXA PER RETIRADA DE VEHICLES,7000.0,0.0,7000.0,4971.94
32700,LLICÈNCIES AUTOTAXIS,1000.0,0.0,1000.0,0.0
32800,LLICÈNCIES ACTIVITATS,100000.0,0.0,100000.0,46787.16
32900,ALTRES TAXES SERVEIS COMPETÈNCIA MUNICIPAL,0.0,0.0,0.0,245.32
32901,TAXA LLICENCIA GOSSOS POTENCIALMENT PERILLOSOS,1000.0,0.0,1000.0,50.0
33100,DISTINTIUS I PLAQUES I ENTRADA VEHICLES,400000.0,0.0,400000.0,341422.32
33200,APROFITAMENT ESPECIAL EMP. EXPLOTADORES SUBMINISTRAMENTS,330000.0,0.0,330000.0,160453.12
33300,APROFITAMENT ESPECIAL EMP. EXPLOTADORES S.TELECOMUNICACIONS,10000.0,0.0,10000.0,3587.6
33500,TAXA UTILITZACIÓ DOMINI PÚBLIC,50000.0,0.0,50000.0,65458.91
33501,TAXA UTILITZACIO ESPAIS PUBLICS CAN GAVARRA,0.0,0.0,0.0,0.0
33800,"APROFITAMENT VOL, SOL I SUBSÒL, CONVENI TELEFÒNICA",28000.0,0.0,28000.0,13206.25
33901,TAXA UTILITZACIÓ LOCALS I INSTAL.LACIONS MUNICIPALS,2000.0,0.0,2000.0,1669.84
33902,TAXA UTILITZACIÓ LOCALS I INSTAL.LACIONS MUNICIPALS (PISOS),110000.0,0.0,110000.0,0.0
34100,CESSIÓ PISOS SOCIALS,1000.0,0.0,1000.0,0.0
34201,ESCOLA BRESSOL,65000.0,0.0,65000.0,27330.25
34300,PREU PUBLIC PISCINA D'ESTIU,45000.0,0.0,45000.0,0.0
34301,ACTIVITATS ESPORTIVES,4000.0,0.0,4000.0,3378.0
34302,LLOGUER INSTAL.LACIONS ESPORTIVES,10000.0,0.0,10000.0,4030.0
34901,PREU PUBLIC PRESTACIÓ SERVEIS CAN GAVARRA,0.0,0.0,0.0,0.0
34902,PREU PÚBLIC ACTIVITATS CULTURALS,3500.0,0.0,3500.0,0.0
34903,EDUCACIÓ CURSOS FORMACIO ADULTS,3000.0,0.0,3000.0,2265.0
34904,ACTIVITATS INFANCIA-JOVENTUT,0.0,0.0,0.0,1825.0
34905,ACTIVITATS CASAL GENT GRAN,9000.0,0.0,9000.0,5909.0
34906,PREU PUBLIC CASALS D'ESTIU,65000.0,0.0,65000.0,0.0
34907,PREU PUBLIC MENJADOR EE BB,100000.0,0.0,100000.0,52781.54
34908,CARREGADORS ELECTRICS VEHICLES,10000.0,0.0,10000.0,2956.68
38900,ALTRES REINTEGRAMENTS D'OPERACIONS CORRENTS,0.0,0.0,0.0,10959.38
39100,SANCIONS TRIBUTARIES,2000.0,0.0,2000.0,6593.42
39120,MULTES TRANSIT,100000.0,0.0,100000.0,71750.0
39190,ALTRES MULTES I SANCIONS,100000.0,0.0,100000.0,22416.28
39200,RECÀRREC D'EXTEMPORANEÏTAT,5000.0,0.0,5000.0,2622.08
39300,INTERESSOS DEUTES TRIBUTÀRIES I ALTRES,1000.0,0.0,1000.0,16986.26
39901,ALTRES INGRESSOS DIVERSOS,1000.0,0.0,1000.0,7812.71
39903,COMPENSACIÓ CÀNON DE DEPOSICIÓ RESIDUS,50000.0,0.0,50000.0,71157.08
39904,GESTIÓ RECOLLIDA RESIDUS DEIXALLERIA,14000.0,0.0,14000.0,15454.66
39906,RECLAMACIÓ DANYS,0.0,0.0,0.0,5373.58
39907,INGRESSOS PER EXECUCIONS SUBSIDIÀRIES,0.0,0.0,0.0,0.0
39910,lINGRESSOS PER CESSIONS HABITTGE SOCIAL,6000.0,0.0,6000.0,6640.05
42000,PARTICIPACIONS EN ELS TRIBUTS DE L'ESTAT,2333000.0,0.0,2333000.0,820809.65
42090,ALTRES TRANSFERÈNCIES CORRENTS DE L'ESTAT,0.0,0.0,0.0,0.0
45000,FONS DE COOPERACIÓ,141000.0,0.0,141000.0,0.0
45080,DE L'ADMINISTRACIÓ GENERAL DE LA COMUNITAT AUTÒNOMA,450000.0,0.0,450000.0,357111.48
45100,TRANSFERÈNCIES D'ORGANISMES AUTÒNOMS DE LA COM.AUTÒNOMA,100000.0,102211.5,202211.5,85944.9
46100,ALTRES TRANSFERÈNCIES DIPUTACIÓ,580889.4,179634.54,760523.94,316778.58
46200,D'AJUNTAMENTS,0.0,0.0,0.0,0.0
46500,ALTRES TRANSFERÈNCIES COMARQUES,200000.0,7666.0,207666.0,36955.75
47000,TRANSFERENCIES D'EMPRESES PRIVADES,0.0,0.0,0.0,1000.0
52000,INTERESSOS DE CAIXES I BANCS,0.0,0.0,0.0,0.0
54100,ARRENDAMENT FINQUES (PISOS SAREB),100000.0,0.0,100000.0,0.0
55000,CONCESSIONS ADMINISTRATIVES,67000.0,0.0,67000.0,57288.66
60000,VENDA DE SOLARS,0.0,0.0,0.0,461002.0
75100,D'ORGANISMES AUTONOMS DE LES CC AA,0.0,0.0,0.0,0.0
75300,DE SOC MERC ENT PÚB EMPR I ALTRES ORGA PÚB DEPEN DE CCAA,0.0,167126.86,167126.86,46962.11
76100,DE DIPUTACIONS,521903.17,0.0,521903.17,322679.79
87000,PER A DESPESES GENERALS,0.0,0.0,0.0,0.0
87010,PER A DESPESES AMB FINANÇAMENT AFECTAT,0.0,775376.7,775376.7,0.0
91100,PRÉSTECS A LL/T D'ENS DEL SECTOR PÚBLIC,0.0,0.0,0.0,0.0
91301,PRÈSTEC REBUT ENS FORA SECTOR PÚBLIC,0.0,0.0,0.0,0.0
