#Eco.,Descripció,Previsions inicials,Total Modificacions,Previsions totals,Drets reconeguts totals
11200,IMPOST SOBRE BENS DE NATURALESA RÚSTEGA,13200.0,0.0,13200.0,0.0
11301,IMPOST SOBRE BENS DE NATURALESA URBANA,4680000.0,0.0,4680000.0,11518.11
11500,IMPOST SOBRE VEHICLES DE TRACCIÓ MECÀNICA,600000.0,0.0,600000.0,603331.64
11600,IMPOST SOBRE INCREMENT DE VALORS TERRENYS NATURALESA URBANA,400000.0,0.0,400000.0,209718.02
13000,IMPOST SOBRE ACTIVITATS EMPRESARIALS,2200000.0,0.0,2200000.0,101921.27
29000,"IMPOST SOBRE CONSTRUCCIONS, INSTAL·LACIONS I OBRES",650000.0,0.0,650000.0,1114.61
30200,RECOLLIDA ESCOMBRARIES,264000.0,0.0,264000.0,475.2
30201,SERVEI RECOLLIDA ESCOMBRARIES INDUSTRIALS,45500.0,0.0,45500.0,0.0
30500,CEMENTIRI MUNICIPAL,11000.0,0.0,11000.0,3037.75
31903,RECOLLIDA ANIMALS DOMÈSTICS,1000.0,0.0,1000.0,154.35
32100,LLICÈNCIES URBANÍSTIQUES,250000.0,0.0,250000.0,2070.44
32200,LLICÈNCIES DE PRIMERA OCUPACIÓ,30000.0,0.0,30000.0,801.42
32500,SERVEIS ADMINISTRATIUS,14000.0,0.0,14000.0,4000.39
32600,TAXA PER RETIRADA DE VEHICLES,7000.0,0.0,7000.0,3387.86
32700,LLICÈNCIES AUTOTAXIS,1000.0,0.0,1000.0,0.0
32800,LLICÈNCIES ACTIVITATS,100000.0,0.0,100000.0,14306.82
32900,ALTRES TAXES SERVEIS COMPETÈNCIA MUNICIPAL,0.0,0.0,0.0,48.56
32901,TAXA LLICENCIA GOSSOS POTENCIALMENT PERILLOSOS,1000.0,0.0,1000.0,0.0
33100,DISTINTIUS I PLAQUES I ENTRADA VEHICLES,400000.0,0.0,400000.0,59256.24
33200,APROFITAMENT ESPECIAL EMP. EXPLOTADORES SUBMINISTRAMENTS,330000.0,0.0,330000.0,61576.81
33300,APROFITAMENT ESPECIAL EMP. EXPLOTADORES S.TELECOMUNICACIONS,10000.0,0.0,10000.0,1549.59
33500,TAXA UTILITZACIÓ DOMINI PÚBLIC,50000.0,0.0,50000.0,33233.53
33501,TAXA UTILITZACIO ESPAIS PUBLICS CAN GAVARRA,0.0,0.0,0.0,0.0
33800,"APROFITAMENT VOL, SOL I SUBSÒL, CONVENI TELEFÒNICA",28000.0,0.0,28000.0,6620.03
33901,TAXA UTILITZACIÓ LOCALS I INSTAL.LACIONS MUNICIPALS,2000.0,0.0,2000.0,0.0
33902,TAXA UTILITZACIÓ LOCALS I INSTAL.LACIONS MUNICIPALS (PISOS),110000.0,0.0,110000.0,0.0
34100,CESSIÓ PISOS SOCIALS,1000.0,0.0,1000.0,0.0
34201,ESCOLA BRESSOL,65000.0,0.0,65000.0,13489.96
34300,PREU PUBLIC PISCINA D'ESTIU,45000.0,0.0,45000.0,0.0
34301,ACTIVITATS ESPORTIVES,4000.0,0.0,4000.0,3378.0
34302,LLOGUER INSTAL.LACIONS ESPORTIVES,10000.0,0.0,10000.0,2790.0
34901,PREU PUBLIC PRESTACIÓ SERVEIS CAN GAVARRA,0.0,0.0,0.0,0.0
34902,PREU PÚBLIC ACTIVITATS CULTURALS,3500.0,0.0,3500.0,0.0
34903,EDUCACIÓ CURSOS FORMACIO ADULTS,3000.0,0.0,3000.0,1525.0
34904,ACTIVITATS JOVENTUT,0.0,0.0,0.0,0.0
34905,ACTIVITATS CASAL GENT GRAN,9000.0,0.0,9000.0,3854.0
34906,PREU PUBLIC CASALS D'ESTIU,65000.0,0.0,65000.0,0.0
34907,PREU PUBLIC MENJADOR EE BB,100000.0,0.0,100000.0,7339.53
34908,CARREGADORS ELECTRICS VEHICLES,10000.0,0.0,10000.0,914.11
38900,ALTRES REINTEGRAMENTS D'OPERACIONS CORRENTS,0.0,0.0,0.0,532.19
39100,SANCIONS TRIBUTARIES,2000.0,0.0,2000.0,0.0
39120,MULTES TRANSIT,100000.0,0.0,100000.0,49285.0
