#Data,Import,Orgánica,Area,Funcional,Económica,Nom terc.,Text lliure,Document
2017-01-16,1800.0,8,Cultura,,,AMICS DE SANT ANTONI,PAGAMENT CAVALLS I CARRUATGES AMICS DE SANT ANTONI,0020
2017-01-16,500.0,13,Esports,,,ESPORTS,PAG A JUSTIFICAR XXX CURSA POPULAR POLINYÀ 2017,
2017-01-18,325.0,1,Presidència-Òrgans de govern,,,"ISAAC ROBLES, ENCARNACIÓN",APERITIU 23/12/16 ROURE,100/23
2017-01-18,66.0,1,Presidència-Òrgans de govern,,,"RUÍZ CARMONA, NADIA (EL JARDINET DE LES FADES)",CENTRE FLORAL FUNERARI,0013
2017-01-18,16.65,2,Serveis generals,,,"EQUIPS D'OFICINA SALVANS, S.L.",CÒPIES MÀQUINA 4922 ANT: 41121 ACT: 42650 UBI: DTP TERRITORI,2016-06919
2017-01-18,25.0,2,Serveis generals,,,"EQUIPS D'OFICINA SALVANS, S.L.",CÒPIES MÀQUINA 5348 ANT:57908 ACT: 60625 UBI: DTP TERRITORI / 5348 ANT: 63392 ACT: 69924 UBI: DTP TERRITORI,2016-06920
2017-01-18,310.87,2,Serveis generals,,,"EQUIPS D'OFICINA SALVANS, S.L.",CÒPIES MÀQUINA 5348 ANT:57908 ACT: 60625 UBI: DTP TERRITORI / 5348 ANT: 63392 ACT: 69924 UBI: DTP TERRITORI,2016-06920
2017-01-18,0.35,2,Serveis generals,,,"EQUIPS D'OFICINA SALVANS, S.L.",CÒPIES IMPRESSORA AUX OBRES 6024 COL. ANT: 524 ACT:556,2016-06923
2017-01-18,680.63,2,Serveis generals,,,"AULOCE, S.A. ( ESPUBLICO )",SERVICIOS TECNOLOGIA GESTIONA: PLAN DE MEJORA CONTINUA,2016 7118
2017-01-18,85.8,2,Serveis generals,,,"EDEN SPRINGS ESPAÑA, SAU",AIGUA DISPENSADORS EQUIPAMENTS MPALS,75/03370325
2017-01-18,402.73,2,Serveis generals,,,TELEFONICA DE ESPAÑA,Detalle de conceptos( 1 Nov. 16 - 30 Nov. 16 ) Facturacio LOT3 Novembre 2016,60K6RR011300
2017-01-18,31.73,2,Serveis generals,,,TELEFONICA DE ESPAÑA,Detalle de conceptos( 1 Nov. 16 - 30 Nov. 16 ) Serveis Telefonia Novembre 2016 ( FACT. RESTA DE SERVEIS ),60K6RR011438
2017-01-18,72.81,2,Serveis generals,,,"TELEFONICA MOVILES, SA (MOVISTAR)",Movistar - Tipus de contracte: Corporatiu 2005 Tarifa Única - Extensions mòbils: 22 - Lineas Facturadas: 606033499 60623,28-L6U1-036378
2017-01-18,22.91,2,Serveis generals,,,"TELEFONICA MOVILES, SA (MOVISTAR)",Movistar - Tipus de contracte: Corporatiu 2005 Tarifa Única - Extensions mòbils: 22 - Lineas Facturadas: 606033499 60623,28-L6U1-036378
2017-01-18,162.15,2,Serveis generals,,,"TELEFONICA MOVILES, SA (MOVISTAR)",Movistar - Tipus de contracte: Corporatiu 2005 Tarifa Única - Extensions mòbils: 22 - Lineas Facturadas: 606033499 60623,28-L6U1-036378
2017-01-18,215.01,2,Serveis generals,,,"TELEFONICA MOVILES, SA (MOVISTAR)",Movistar - Tipus de contracte: Corporatiu 2005 Tarifa Única - Extensions mòbils: 26 - Lineas Facturadas: 606457246 60657,28-L6U1-005243
2017-01-18,52.13,2,Serveis generals,,,"VODAFONE ESPAÑA, SAU",CONSUM TELEFONS FIXOS DE NOVEMBRE 2016,CI0864301185
2017-01-18,48.67,2,Serveis generals,,,"DIMO EXPRES, S.L. - UNIPOST, SERVICIO POSTAL GLOBAL",SERVEI CARTES NOVEMBRE 2016,20.160.601
2017-01-18,496.38,2,Serveis generals,,,"SOCIEDAD ESTATAL CORREOS Y TELÉGRAFOS,S.A.",SERVEI CORREUS NOVEMBRE 2016,4001911774
2017-01-18,72.31,2,Serveis generals,,,"SERVI-TRANS POLINYA, S.L.",SERVEI MISSATGERIA NOVEMBRE 2016,A00043984
2017-01-18,110.96,2,Serveis generals,,,Consorci Administració Oberta Cat,CPISR-1 Certificat empleat.ajpolinya.cat,A 7881
2017-01-18,444.19,2,Serveis generals,,,"GRUPO FIDE CERDANYOLA DEL VALLES, CB - NOTARIO D JUAN CORREA ARTES",DESPESES REGISTRALS LOCALS AMPLIACIÓ BIBLIOTECA,1296
2017-01-18,313.29,2,Serveis generals,,,"GRUPO FIDE CERDANYOLA DEL VALLES, CB - NOTARIO D JUAN CORREA ARTES",DESPESES REGISTRALS LOCALS AMPLIACIÓ BIBLIOTECA,1.295
2017-01-18,689.7,2,Serveis generals,,,"DURAN-SINDREU ASES. EGAL Y TRIBUT, S.C.P.",Honoraris professionals assessorament jurídic en matèria fiscal i tributària desde el dia 01-11-2016 fins el 30-11-2016,FACT2-12 2/160225
2017-01-18,248.05,3,Seguretat ciutadana,,,"MUELAS NAVARRETE, RAFAEL - GRUAS SANTA COLOMA",SERVEI GRÚA NOVEMBRE 2016,1 160092
2017-01-18,35.4,3,Seguretat ciutadana,,,"EQUIPS D'OFICINA SALVANS, S.L.",CÒPIES MÀQUINA 4826 ANT: 85173 ACT:88424 UBI: POLICIA LOCAL,2016-06918
2017-01-18,211.75,3,Seguretat ciutadana,,,"DRAGCLIC, S.L.",Programa informàtic de gestió policial DRAG. Quota mensual,694
2017-01-18,139.15,3,Seguretat ciutadana,,,"JM BRUNEAU ESPAÑA, S.A.",VITRINA POLICIA LOCAL,001.861
