#Eco.,Descripció,Previsions inicials,Total Modificacions,Previsions totals,Drets reconeguts nets
11200,IMPOST SOBRE BENS DE NATURALESA RÚSTEGA,12000.0,0.0,12000.0,11885.28
11301,IMPOST SOBRE BENS DE NATURALESA URBANA,3272504.0,0.0,3272504.0,3233861.02
11500,IMPOST SOBRE VEHICLES DE TRACCIÓ MECÀNICA,650000.0,0.0,650000.0,641826.34
11600,IMPOST SOBRE INCREMENT DE VALORS TERRENYS NATURALESA URBANA,1150000.0,0.0,1150000.0,2053197.07
13000,IMPOST SOBRE ACTIVITATS EMPRESARIALS,1550000.0,0.0,1550000.0,1603788.91
29000,"IMPOST SOBRE CONSTRUCCIONS, INSTAL·LACIONS I OBRES",400000.0,0.0,400000.0,797585.40
30000,ABASTAMENT D'AIGUA,0.0,0.0,0.0,6055.57
30200,RECOLLIDA ESCOMBRARIES,370000.0,0.0,370000.0,283893.78
30201,SERVEI RECOLLIDA ESCOMBRARIES INDUSTRIALS,0.0,0.0,0.0,70360.67
30500,CEMENTIRI MUNICIPAL,15000.0,0.0,15000.0,11947.18
31100,ACTIVITATS GENT GRAN,3000.0,0.0,3000.0,4097.38
31200,ACTIVITATS ENSENYAMENT,18000.0,0.0,18000.0,666.49
31201,PLA DE FORMACIÓ,5000.0,0.0,5000.0,1173.0
31301,ACTIVITATS ESPORTIVES,1000.0,0.0,1000.0,1422.0
31306,INSTAL·LACIONS ESPORTIVES,1000.0,0.0,1000.0,0.0
31400,ACTIVITATS CULTURALS,4000.0,0.0,4000.0,3779.00
31500,ACTIVITATS JUVENILS,40000.0,0.0,40000.0,40116.25
31600,ACTIVITATS PROMOCIÓ ECONÒMICA,2000.0,0.0,2000.0,0.0
31903,RECOLLIDA ANIMALS DOMÈSTICS,1500.0,0.0,1500.0,950.0
32100,LLICÈNCIES URBANÍSTIQUES,175000.0,0.0,175000.0,263412.48
32200,CEDULES D'HABILITAT I LLICÈNCIES DE PRIMERA OCUPACIÓ,5000.0,0.0,5000.0,30735.17
32500,SERVEIS ADMINISTRATIUS,12000.0,0.0,12000.0,6623.48
32600,TAXA PER RETIRADA DE VEHICLES,14000.0,0.0,14000.0,6691.0
32700,LLICÈNCIES AUTOTAXIS,1000.0,0.0,1000.0,444.4
32800,LLICÈNCIES ACTIVITATS,110000.0,0.0,110000.0,78670.05
32901,TAXA LLICENCIA GOSSOS POTENCIALMENT PERILLOSOS,500.0,0.0,500.0,82.8
33100,DISTINTIUS I PLAQUES I ENTRADA VEHICLES,88000.0,0.0,88000.0,90386.74
33200,APROFITAMENT ESPECIAL EMP. EXPLOTADORES SUBMINISTRAMENTS,300000.0,0.0,300000.0,218973.33
33300,APROFITAMENT ESPECIAL EMP. EXPLOTADORES S.TELECOMUNICACIONS,6000.0,0.0,6000.0,5567.23
33500,TAXA UTILITZACIÓ DOMINI PÚBLIC,81000.0,0.0,81000.0,50537.49
33800,"APROFITAMENT VOL, SOL I SUBSÒL, CONVENI TELEFÒNICA",40000.0,0.0,40000.0,38898.47
33901,TAXA UTILITZACIÓ LOCALS I INSTAL.LACIONS MUNICIPALS,3000.0,0.0,3000.0,469.9
34201,ESCOLA BRESSOL,200000.0,0.0,200000.0,197001.03
34901,PREU PUBLIC PRESTACIÓ SERVEIS CAN GAVARRA,46000.0,0.0,46000.0,47068.01
39100,MULTES PER INFRACCIONS URBANISTIQUES,0.0,0.0,0.0,86.55
39120,MULTES TRANSIT,40000.0,0.0,40000.0,34552.82
39130,MULTES COERCITIVES AREA TERRITORI,30000.0,0.0,30000.0,0.0
39190,ALTRES MULTES I SANCIONS,5000.0,0.0,5000.0,32333.85
39200,RECÀRREC D'EXTEMPORANEÏTAT,10000.0,0.0,10000.0,3835.07
39300,INTERESSOS DEUTES TRIBUTÀRIES I ALTRES,50000.0,0.0,50000.0,52614.61
39710,Altres ingressos per aprofitaments urbanístics.,0.0,0.0,0.0,0.0
39901,ALTRES INGRESSOS DIVERSOS,15000.0,0.0,15000.0,13997.88
39903,COMPENSACIÓ CÀNON DE DEPOSICIÓ RESIDUS,40000.0,0.0,40000.0,94453.52
