#Org.,Fun.,Eco.,Descripció,Crèdits inicials,Modificacions de crèdit,Crèdits totals consignats,Obligacions reconegudes
010,150,48005,A families i institucions sense fi de lucre,0,0,0,0
010,910,12003,RETRIBUCIONS BÀSIQUES FUNCIONARIS SOUS GRUP C1,10080,0,10080,9884.84
010,910,12004,RETRIBUCIONS BÀSIQUES FUNCIONARIS SOUS GRUP C2,8390,0,8390,8386.35
010,910,12006,TRIENNIS,2107,0,2107,1985.96
010,910,12100,COMPLEMENT DE DESTINACIÓ,9797,0,9797,9787.03
010,910,12101,COMPLEMENT ESPECÍFIC,26558,0,26558,26562.61
010,910,13000,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX,15860,0,15860,14813.05
010,910,13002,ALTRES REMUNERACIONS PERSONAL LABORAL FIX,21363,0,21363,21363.02
010,910,15000,PRODUCTIVITAT,1800,0,1800,1500
010,912,10000,RETRIBUCIONS BÀSIQUES I ALTRES RENDIMENTS,134500,0,134500,135429.47
010,912,22601,DESPESES DIVERSES,2000,470,2470,1574.53
010,912,23000,DIETES MEMBRES ORGANS DE GOVERN,300,0,300,0
010,912,23100,LOCOMOCIÓ MEMBRES ÒRGANS DE GOVERN,1000,0,1000,780.3
010,912,23300,ALTRES INDEMNITZACIONS,10000,0,10000,10167
010,912,48300,APORTACIO A GRUPS POLITICS,30769,0,30769,30769
020,011,31000,INTERESSOS PRESTECS DE L'INTERIOR,158000,-48000,110000,109091.46
020,011,31100,DESP. FORMALIZ. MODIF. I CANCEL.LACIÓ PRESTEC INTERIOR,0,0,0,600
020,011,91100,AMORTITZ. PRESTECS A MIG I LLARG DEL S.PUB.,145580,0,145580,145579.27
020,011,91300,AMORTITZACIO PRÈSTECS A MIG I LLARG FORA DEL S.PÚBLIC,917246,-41856.15,875389.85,875144.63
020,011,91302,AMORTITZACIÓ PRÈSTECS A MIG I LLARG FORA DEL S.PÚBLIC,30147,0,30147,30146.55
020,231,16000,SEGURETAT SOCIAL,1063184,-12235.31,1050948.69,1007412.07
020,231,16001,Seguretat Social Altre personal,0,0,0,0
020,231,16002,Seguretat Social altre personal Pla d'Ocupació,0,14929.71,14929.71,7268.52
020,231,16106,INDEMNITZACIONS,0,0,0,9636.72
020,231,16200,FORMACIO I PERFECCIONAMENT PERSONAL,9000,0,9000,1426.17
020,231,16204,ACCIÓ SOCIAL PERSONAL,23000,0,23000,23617.73
020,920,12000,RETRIBUCIONS BASIQUES FUNCIONARIS SOUS GRUP A1,15527,0,15527,14677.32
020,920,12001,RETRIBUCIONS BASIQUES FUNCIONARIS SOUS GRUP A2,33564,0,33564,31799.95
020,920,12003,RETRIBUCIONS BASIQUES FUNCIONARIS SOUS GRUP C1,45361,0,45361,44894.83
020,920,12004,RETRIBUCIONS BASIQUES FUNCIONARIS SOUS GRUP C2,41947,0,41947,41226.07
020,920,12006,TRIENNIS,31384,0,31384,29411.85
020,920,12100,COMPLEMENT DE DESTINACIÓ,76076,0,76076,74255.4
020,920,12101,COMPLEMENT ESPECÍFIC,233961,0,233961,234236.47
020,920,13000,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX,49956,0,49956,48320.08
020,920,13002,ALTRES REMUNERACIONS PERSONAL LABORAL FIX,73144,-7000,66144,73398.96
020,920,15000,PRODUCTIVITAT,9000,-2700,6300,6300
020,920,15100,GRATIFICACIONS PERSONAL FUNCIONARI,2800,-1700,1100,1100
020,920,20500,LLOGUER DE MOBILIARI I ESTRIS,3100,108.9,3208.9,5294.23
020,920,20600,ARRENDAMENTS EQUIPS PER A PROCESOS DE LA INFORMACIÓ,6000,0,6000,5452.66
020,920,21500,MANTENIMENT MOBILIARI I ESTRIS,3000,206.84,3206.84,4214.95
020,920,21600,MANTENIMENT EQUIPS INFORMÀTICS,2700,0,2700,2435.25
020,920,21900,MANTENIMENT PROGRAMES INFORMÀTICS,9400,0,9400,5499.49
020,920,22000,MATERIAL D'OFICINA,8000,0,8000,8831.78
020,920,22001,"PREMSA, REVISTES, LLIBRES I ALTRES PUBLICACIONS",6000,1532.1,7532.1,6942.88
020,920,22002,MATERIAL INFORMÀTIC NO INVENTARIABLE,6000,11400,17400,10674.19
020,920,22200,SERVEIS DE TELECOMUNICACIONS,23000,0,23000,25105.28
020,920,22201,COMUNICACIONS POSTALS,7000,468.49,7468.49,8678.48
020,920,22299,ALTRES DESPESES EN COMUNICACIONS,1000,300,1300,1199.7
020,920,22400,PRIMES ASSEGURANCES,34000,0,34000,27215.94
020,920,22602,PUBLICITAT I PROPAGANDA,1000,24.43,1024.43,1102.62
020,920,22603,PUBLICACIÓ DIARIS OFICIALS,6000,0,6000,13662.4
020,920,22604,DESPESES JURIDIQUES,2000,7500,9500,10313.45
020,920,22699,DESPESES DIVERSES,8000,0,8000,3381.3
020,920,22706,TREBALLS TECNICS REALITZATS ALTRES EMPRESES,16000,0,16000,6537.45
020,920,23010,DIETES PERSONAL DIRECTIU,500,0,500,0
020,920,23020,DIETES PERSONAL NO DIRECTIU,3000,0,3000,4243.7
020,920,23110,LOCOMOCIÓ PERSONAL DIRECTIU,300,0,300,0
020,920,23120,LOCOMOCIÓ PERSONAL NO DIRECTIU,1200,0,1200,1684.87
020,920,23300,ALTRES INDEMNITZACIONS,0,0,0,39.78
020,920,62501,MOBILIARI I ESTRIS,4000,-500,3500,3178.89
020,920,62601,EQUIPS PER A PROCESSOS D'INFORMACIO,1500,-336.31,1163.69,1463.05
020,932,22708,SERVEIS DE RECAPTACIÓ A FAVOR DE L'ENTITAT,115000,20000,135000,135000
020,934,31100,DESP. FORMALITZACIO MODIFICACIÓ I CANCEL.PRESTECS INTERIOR,0,0,0,0
020,934,35200,INTERESSOS DE DEMORA,2000,0,2000,229.21
020,934,35900,ALTRES DESPESES FINANCERES,500,0,500,1695.36
020,942,46600,A ALTRES AGRUPACIONS DE MUNICIPIS,4000,-127,3873,3726.98
030,130,12003,RETRIBUCIONS BASIQUES FUNCIONARIS SOUS GRUP C1,10080,0,10080,9884.84
030,130,12004,RETRIBUCIONS BASIQUES FUNCIONARIS SOUS GRUP C2,134232,0,134232,132276.15
030,130,12006,TRIENNIS,18131,0,18131,15989.41
030,130,12100,COMPLEMENT DE DESTINACIÓ,77347,0,77347,75090.68
030,130,12101,COMPLEMENT ESPECÍFIC,338425,-7340.72,331084.28,329457.2
030,130,15000,PRODUCTIVITAT,10200,0,10200,9600
030,130,15100,GRATIFICACIONS,14000,9017.78,23017.78,21771.03
030,130,20300,"LLOGUER DE MAQUINÀRIA, INSTAL·LACIONS I ESTRIS",17554,-9000,8554,1376.4
030,130,20400,LLOGUER DE MATERIAL DE TRANSPORT,34700,0,34700,35806.39
030,130,21300,"MANTENIMENT MAQUINARIA, INSTAL.LACIONS I UTILLATGE",250,0,250,656.36
