#Data,Import,Orgànica,Area,Funcional,Econòmica,Nom terc.,Text lliure,Document
2014-01-01,1215.45,03,Seguretat ciutadana,130,20400,"ARVAL SERVICE LEASE, S.A.",LLOGUER I ASSEGURANÇA TOYOTA 5746HCH,2014013458
2014-01-09,13392.2,06,Serveis municipals i via pública,162,22700,"SERVICIOS SEMAT, S.A.",QUOTA MENSUAL NOVEMBRE  RECOLLIDA RESIDUS,00025
2014-01-09,29464.87,06,Serveis municipals i via pública,163,22700,"SERVICIOS SEMAT, S.A.",QUOTA MENSUAL NOVEMBRE  RECOLLIDA RESIDUS,00025
2014-01-09,25775.49,06,Serveis municipals i via pública,162,22700,"SERVICIOS SEMAT, S.A.",QUOTA MENSUAL NOVEMBRE  RECOLLIDA RESIDUS,00025
2014-01-14,2380.12,15,Salut i consum ,313,22709,HELP-GUAU,RECOLLIDA I ESTADA D'ANIMALS MES NOVEMBRE 2013,A/4825
2014-01-14,80.66,15,Salut i consum ,313,22709,"VILAPLANA DE JUAN, SUSANNA - CENTRE VETERINARI SANLLEHY",EUTANASIA I INCINERACIÓ,3/4T
2014-01-14,156.7,15,Salut i consum ,313,22709,"VILAPLANA DE JUAN, SUSANNA - CENTRE VETERINARI SANLLEHY",ESTERILITZACIÓ ANIMALS,2/4T
2014-01-14,3851.54,06,Serveis municipals i via pública,162,22700,"CESPA GESTIÓN DE RESIDUOS, S.A.",UTILITZACIÓ PLANTA CAN BARBA  MES OCTUBRE 2013,13AFH00199
2014-01-14,10729.76,06,Serveis municipals i via pública,162,22700,CONSORCI GESTIO DE RESIDUS DEL  VALLES OCCIDENTAL,UTILITZACIÓ PLANTA CTRA. VACARISSES  DESEMBRE 2013,364/2013
2014-01-14,11.35,06,Serveis municipals i via pública,162,22700,CONSORCI GESTIO DE RESIDUS DEL  VALLES OCCIDENTAL,UTILITZACIÓ PLANTA INTERCOMARCAL - VOLUMINOSOS SABADELL MES DESEMBRE 2013,379/2013
2014-01-14,27.72,06,Serveis municipals i via pública,162,22700,"EMBALAJES MONTE, SL",PALETS FUSTA -TRACTAMENT RESIDUS,184
2014-01-14,8.16,06,Serveis municipals i via pública,162,22700,"FOMENT DEL RECICLATGE, S.A.",LLOGUER CARREGA FRONTAL CEMENTERI MUNICIPAL MES NOVEMBRE 2013,FR/13-383203
2014-01-14,8.89,06,Serveis municipals i via pública,162,22700,"INNOVET-98,S.L.  - MASCAROL",INCINERACIÓ ANIMALS MES NOVEMBRE 2013,33538
2014-01-14,524.76,14,Dona i igualtat,232,22706,ASSISTÈNCIA I GESTIÓ INTEGRAL,SERVEI ATENCIÓ PSICOLÒGICA NOVEMBRE 2013,A/1915
2014-01-14,211.65,02,Serveis generals,920,22706,"UNIVERSAL PREVENCIÓN Y SALUD, SOCIEDAD DE PREVENCIÓN, S.L.U.",CONTRACTE NÚM. 60658 PREVENCIÓ DE RISCOS LABORAL ANY 2013. QUOTA MES DESEMBRE 2013,F13151617ND
